"Organization Name",Address,"NLRB Case Numbers","Petition File Date","Vote Count Date","Election Yes Votes","Election No Votes","Election Challenged Votes",Percentage,"Store Organizing Status",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"North Carolina (NC) : Wake Forest Rd and Six Forks Rd - 55712","2901 Sherman Oak Pl, Raleigh NC 27609-7496",10-RC-290674,2/15/2022,5/3/2022,5,7,,41.66666667,"Lost election",35.821326,-78.62083,1,rooftop,2901,"Sherman Oak Pl",,,Raleigh,NC,"Wake County",27609,US,Wake
"Oklahoma (OK) : Hwy 9 & Classen Blvd - 55714","3051 Classen Blvd, Norman, OK 73071",14-RC-293567,4/5/2022,7/6/2022,8,8,1,50,"Lost election",35.181736,-97.416018,1,rooftop,3051,"S Classen Blvd",,,Norman,OK,"Cleveland County",73071,US,"City of Norman"
"Oregon (OR) : Cornelius Pass & Butler, Hillsboro - 13903","7399 NE Butler St, Hillsboro OR 97124-9434",19-RC-306378,11/1/2022,12/14/2022,9,10,,47.36842105,"Lost election",45.538209,-122.900718,1,rooftop,7399,"NE Butler St",,,Hillsboro,OR,"Washington County",97124,US,"City of Portland (Public Domain Dedication and License (PDDL) v1.0)"
"Oregon (OR) : Oakway Mall - 449","65 Oakway Ctr, Eugene OR 97401-5613",19-RC-289817,1/31/2022,4/28/2022,4,7,0,36.36363636,"Lost election",44.065288,-123.075485,1,rooftop,65,"Oakway Ctr",,,Eugene,OR,"Lane County",97401,US,"City of Eugene"
"Pennsylvania (PA) : PA JB : Clairton Blvd, Pleasant Hills - 50119","428 Clairton Blvd, Pleasant Hills PA 15236-3808",06-RC-320875,6/29/2023,8/15/2023,7,21,,25,"Lost election",40.335306,-79.947655,1,rooftop,428,"Clairton Blvd",,,Pittsburgh,PA,"Allegheny County",15236,US,Allegheny
"Pennsylvania (PA) : PA JB : McKnight and Siebert - 776","4885 McKnight Rd, Pittsburgh PA 15237-3400",06-RC-296139,5/20/2022,7/26/2022,4,6,0,40,"Lost election",40.52993,-80.009633,1,rooftop,4885,"McKnight Rd",,,Pittsburgh,PA,"Allegheny County",15237,US,Allegheny
"Pennsylvania (PA) : PA JB : McKnight Road, Northbound - 65815","4840 McKnight Rd, Pittsburgh PA 15237-3413",06-RC-293424,4/4/2022,5/31/2022,6,11,0,35.29411765,"Lost election",40.528006,-80.006235,1,rooftop,4840,"McKnight Rd",,,Pittsburgh,PA,"Allegheny County",15237,US,Allegheny
"Pennsylvania (PA) : PA JB : Smock Hwy & Rte 19 - 63580","18461 Smock Hwy, Meadville PA 16335-3671",06-RC-332320,12/20/2023,1/26/2024,5,12,,29.41176471,"Lost election",41.619977,-80.167666,1,rooftop,18461,"Smock Hwy",,,Meadville,PA,"Crawford County",16335,US,Crawford
"Pennsylvania (PA) : PA JB : Waterfront Towne Center - 7708","270 W Bridge St, West Homestead PA 15120-5016",06-RC-334100,1/22/2024,2/22/2024,5,5,,50,"Lost election",40.407623,-79.917029,1,rooftop,270,"W Bridge St",,,Homestead,PA,"Allegheny County",15120,US,Allegheny
"Pennsylvania (PA) : PJB PA : Callowhill Street - 7636","1945 Callowhill St, Philadelphia PA 19130-4171",04-RC-289708,1/28/2022,5/25/2022,4,10,1,28.57142857,"Lost election",39.960967,-75.17142,1,rooftop,1945,"Callowhill St",,,Philadelphia,PA,"Philadelphia County",19130,US,Philadelphia
"Pennsylvania (PA) : PJB PA : Huntingdon Valley Shopping Ctr - 21386","789 Huntingdon Pike, Huntingdon Valley PA 19006-8362",04-RC-303151,9/9/2022,10/19/2022,7,11,,38.88888889,"Lost election",40.088683,-75.092762,1,rooftop,789,"Huntingdon Pike",,,"Huntingdon Valley",PA,"Montgomery County",19006,US,Montgomery
