"Organization Name",Address,"NLRB Case Numbers","Petition File Date","Vote Count Date","Election Yes Votes","Election No Votes","Election Challenged Votes",Percentage,"Store Organizing Status",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"California (CA) : Southern California : Redondo & 7th - 9382","3390 E 7th St, Long Beach CA 90804-5003",21-RC-291847,3/7/2022,5/13/2022,13,0,0,100,"6. Joining the Fight To Win (Post-Election Victory)",33.775013,-118.152743,1,rooftop,3390,"E 7th St",,,"Long Beach",CA,"Los Angeles County",90804,US,"City of Long Beach"
"California (CA) : Southern California : S. Broadway and E. McCoy - 5917 - Santa Maria CA","2430 S Broadway Ste A, Santa Maria CA 93454-7818",31-RC-300025,7/22/2022,10/3/2022,14,4,0,77.77777778,"6. Joining the Fight To Win (Post-Election Victory)",34.915702,-120.435558,1,rooftop,2430,"S Broadway",Ste,A,"Santa Maria",CA,"Santa Barbara County",93454,US,"City of Santa Maria (City of Santa Maria)"
"California (CA) : Southern California : Seal Beach Blvd. & St. Cloud - 5961","12430 Seal Beach Blvd Ste G, Seal Beach CA 90740-2791",21-RC-336170,2/20/2024,3/20/2024,9,3,,75,"6. Joining the Fight To Win (Post-Election Victory)",33.78162,-118.071553,1,rooftop,12430,"Seal Beach Blvd",Ste,G,"Seal Beach",CA,"Orange County",90740,US,"Orange (CC0 1.0)"
"California (CA) : Southern California : Sepulveda & Vose - 50528","7040 Sepulveda Blvd, Van Nuys CA 91405-2926",31-RC-345535,7/2/2024,7/15/2024,23,3,,88.46153846,"6. Joining the Fight To Win (Post-Election Victory)",34.19889,-118.46596,1,rooftop,7040,"N Sepulveda Blvd",,,"Van Nuys",CA,"Los Angeles County",91405,US,"City of Los Angeles (CC0 1.0)"
"California (CA) : Southern California : University & Richmond - San Diego - 5638","1240 University Ave, San Diego CA 92103-3312",21-RC-320799,6/27/2023,8/4/2023,15,2,,88.23529412,"6. Joining the Fight To Win (Post-Election Victory)",32.749104,-117.151936,1,rooftop,1240,"University Ave",,,"San Diego",CA,"San Diego County",92103,US,"City of San Diego (ODC PDDL)"
"California (CA) : Southern California : Wilshire & Curson - 12900","5757 Wilshire Blvd # 106, Los Angeles CA 90036-5810",31-RC-330347,11/17/2023,1/5/2024,11,3,,78.57142857,"6. Joining the Fight To Win (Post-Election Victory)",34.06259,-118.35341,1,nearest_rooftop_match,5757,"W Wilshire Blvd",#,106,"Los Angeles",CA,"Los Angeles County",90036,US,"City of Los Angeles (CC0 1.0)"
"Colorado (CO) : 144th and I-25-Westminster - 13233","14456 Delaware St, Westminster CO 80023-9265",27-RC-314597,3/22/2023,5/2/2023,15,1,,93.75,"6. Joining the Fight To Win (Post-Election Victory)",39.958865,-104.991204,1,rooftop,14456,"Delaware St",,,Westminster,CO,"Adams County",80023,US,Adams
"Colorado (CO) : 16th & Tremont - 5640","303 16th St Ste 100, Denver CO 80202-5657",27-RC-292041,3/10/2022,5/19/2022,4,1,2,80,"6. Joining the Fight To Win (Post-Election Victory)",39.742952,-104.988801,1,rooftop,303,"16th St",Ste,100,Denver,CO,"Denver County",80202,US,"Denver (City of Denver Open Data Catalog)"
"Colorado (CO) : 17th and Hover- Longmont - 9693","2318 17th Ave, Longmont CO 80501-9747",27-RC-336299,2/20/2024,3/28/2024,15,4,,78.94736842,"6. Joining the Fight To Win (Post-Election Victory)",40.188735,-105.129645,1,range_interpolation,2318,"17th Ave",,,Longmont,CO,"Boulder County",80501,US,"TIGER/Line® dataset from the US Census Bureau"
"Colorado (CO) : 3rd and Columbine-Cherry Creek - 237","250 Columbine St Ste 160, Denver CO 80206-4759",27-RC-293880,4/12/2022,6/13/2022,8,5,0,61.53846154,"6. Joining the Fight To Win (Post-Election Victory)",39.720616,-104.956654,1,rooftop,250,"N Columbine St",Ste,160,Denver,CO,"Denver County",80206,US,"Denver (City of Denver Open Data Catalog)"
"Colorado (CO) : 5835 Leetsdale - 5440","5835 Leetsdale Dr, Denver CO 80224-1222",27-RC-292681,3/22/2022,5/19/2022,9,1,1,90,"6. Joining the Fight To Win (Post-Election Victory)",39.707222,-104.920416,1,rooftop,5835,"Leetsdale Dr",,,Denver,CO,"Denver County",80224,US,"Denver (City of Denver Open Data Catalog)"
"Colorado (CO) : Academy & Flintridge-Colorado Spri - 10897","4825 N Academy Blvd, Colorado Springs CO 80918-4121",27-RC-292261,3/15/2022,5/19/2022,10,10,,50,"Contested Election",38.902221,-104.768681,1,rooftop,4825,"N Academy Blvd",,,"Colorado Springs",CO,"El Paso County",80918,US,"El Paso"
"Colorado (CO) : Baseline Rd & Broadway - Boulder - 10857","2400 Baseline Rd, Boulder CO 80305-3386",27-RC-307323,11/17/2022,1/24/2023,13,2,,86.66666667,"6. Joining the Fight To Win (Post-Election Victory)",39.999857,-105.263015,1,rooftop,2400,"Baseline Rd",,,Boulder,CO,"Boulder County",80305,US,"Boulder (Boulder County, CO)"
"Colorado (CO) : Coalton & Rock Creek- 10867 - Superior CO","2800 Rock Creek Blvd # A1, Superior CO 80027-4650",27-RC-288318,12/30/2021,4/22/2022,12,2,0,85.71428571,"6. Joining the Fight To Win (Post-Election Victory)",39.941358,-105.157089,0.7,street_center,,"Rock Creek Pkwy",#,A1,Louisville,CO,"Boulder County",80027,US,"TIGER/Line® dataset from the US Census Bureau"
